freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
1.0000e-02	5	false	102946	4.9066e-04	6.5464e-06	7.4951e+01	0.0000e+00	4.4106e-03	2.6345e-01	2.6340e-01	5.6177e+03	0.0000e+00	15708	3.5067e-03	4.5707e-05	7.6722e+01	0.0000e+00	1.5342e-04	3.6615e-06	4.1901e+01	0.0000e+00	4.8740e-03	1.0054e-01	1.0049e-01	1.7557e+03	0.0000e+00	15708	3.9615e-03	5.6741e-05	6.9818e+01	0.0000e+00
1.0000e-02	5	true	5535	2.1440e-03	6.2041e-05	3.4557e+01	2.8045e-252	4.9543e-03	7.0662e-02	7.0603e-02	1.1942e+03	2.8045e-252	15708	5.0516e-03	4.3668e-05	1.1568e+02	0.0000e+00	1.0457e-03	4.4576e-05	2.3459e+01	1.2171e-119	5.0515e-03	3.3852e-02	3.3791e-02	5.5031e+02	1.2171e-119	15708	5.0752e-03	4.8143e-05	1.0542e+02	0.0000e+00
1.0000e-02	10	false	85934	5.0500e-04	5.7663e-06	8.7579e+01	0.0000e+00	4.2125e-03	3.2812e-01	3.2807e-01	7.6700e+03	0.0000e+00	15708	3.0987e-03	4.4800e-05	6.9166e+01	0.0000e+00	2.2485e-04	4.9808e-06	4.5143e+01	0.0000e+00	4.8351e-03	1.1485e-01	1.1480e-01	2.0379e+03	0.0000e+00	15708	3.5292e-03	6.1526e-05	5.7360e+01	0.0000e+00
1.0000e-02	10	true	4873	2.1552e-03	6.1638e-05	3.4965e+01	5.2517e-258	4.9502e-03	7.2220e-02	7.2161e-02	1.2226e+03	5.2517e-258	15708	5.0071e-03	4.4098e-05	1.1354e+02	0.0000e+00	2.9801e-04	3.1556e-05	9.4437e+00	4.0956e-21	5.1247e-03	5.6462e-03	5.5829e-03	8.9183e+01	4.0956e-21	15708	5.3524e-03	5.4509e-05	9.8193e+01	0.0000e+00
5.0000e-02	-10	false	43364	2.5719e-04	2.3068e-06	1.1149e+02	0.0000e+00	3.8396e-03	4.4180e-01	4.4177e-01	1.2431e+04	0.0000e+00	15708	1.0195e-03	5.1917e-05	1.9638e+01	7.6324e-85	1.3672e-04	2.5395e-06	5.3837e+01	0.0000e+00	4.7220e-03	1.5579e-01	1.5574e-01	2.8984e+03	0.0000e+00	15708	2.3861e-03	7.2055e-05	3.3115e+01	1.6512e-232
5.0000e-02	-10	true	3020	1.0160e-03	2.3189e-05	4.3815e+01	0.0000e+00	4.8513e-03	1.0892e-01	1.0886e-01	1.9197e+03	0.0000e+00	15708	3.8258e-03	5.7567e-05	6.6459e+01	0.0000e+00	1.9884e-04	1.9295e-05	1.0305e+01	7.9958e-25	5.1219e-03	6.7163e-03	6.6531e-03	1.0620e+02	7.9958e-25	15708	5.1395e-03	6.7477e-05	7.6167e+01	0.0000e+00
5.0000e-02	-5	false	37036	4.5112e-04	4.1251e-06	1.0936e+02	0.0000e+00	3.8722e-03	4.3228e-01	4.3225e-01	1.1959e+04	0.0000e+00	15708	2.2349e-03	4.4209e-05	5.0553e+01	0.0000e+00	1.0296e-04	1.8729e-06	5.4971e+01	0.0000e+00	4.7064e-03	1.6135e-01	1.6130e-01	3.0218e+03	0.0000e+00	15708	3.1011e-03	6.0273e-05	5.1452e+01	0.0000e+00
5.0000e-02	-5	true	2004	1.8864e-03	4.5457e-05	4.1499e+01	0.0000e+00	4.8787e-03	9.8813e-02	9.8756e-02	1.7221e+03	0.0000e+00	15708	4.6850e-03	4.5881e-05	1.0211e+02	0.0000e+00	9.0419e-04	2.9771e-05	3.0371e+01	6.2784e-197	4.9946e-03	5.5471e-02	5.5411e-02	9.2239e+02	6.2784e-197	15708	4.6798e-03	5.1968e-05	9.0050e+01	0.0000e+00
5.0000e-02	-1	false	199097	3.1604e-04	2.7857e-06	1.1345e+02	0.0000e+00	3.8100e-03	4.5039e-01	4.5036e-01	1.2871e+04	0.0000e+00	15708	2.1437e-03	4.3621e-05	4.9144e+01	0.0000e+00	9.8507e-06	1.6356e-07	6.0228e+01	0.0000e+00	4.6321e-03	1.8762e-01	1.8757e-01	3.6274e+03	0.0000e+00	15708	3.5028e-03	5.1847e-05	6.7561e+01	0.0000e+00
5.0000e-02	-1	true	11109	1.4495e-03	2.9080e-05	4.9847e+01	0.0000e+00	4.7753e-03	1.3659e-01	1.3654e-01	2.4848e+03	0.0000e+00	15708	4.1520e-03	4.9063e-05	8.4626e+01	0.0000e+00	1.8078e-04	3.4829e-06	5.1904e+01	0.0000e+00	4.7481e-03	1.4641e-01	1.4636e-01	2.6940e+03	0.0000e+00	15708	3.7810e-03	5.2839e-05	7.1556e+01	0.0000e+00
