freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
1.0000e-02	0	true	10460	-8.9101e-05	3.1593e-05	-2.8202e+00	4.7997e-03	8.3046e-03	6.3248e-05	5.5296e-05	7.9537e+00	4.7997e-03	125748	4.8820e-03	2.5116e-05	1.9438e+02	0.0000e+00	2.8350e-04	3.5550e-06	7.9746e+01	0.0000e+00	8.1025e-03	4.8139e-02	4.8132e-02	6.3595e+03	0.0000e+00	125748	3.6052e-03	2.7718e-05	1.3007e+02	0.0000e+00
1.0000e-02	1	false	2675	1.2247e-03	1.2624e-04	9.7017e+00	3.0183e-22	8.3018e-03	7.4796e-04	7.4001e-04	9.4123e+01	3.0183e-22	125748	4.8234e-03	2.3657e-05	2.0389e+02	0.0000e+00	6.9332e-04	2.4360e-05	2.8461e+01	1.2922e-177	8.2783e-03	6.4008e-03	6.3929e-03	8.1006e+02	1.2922e-177	125748	4.4940e-03	2.6591e-05	1.6900e+02	0.0000e+00
1.0000e-02	1	true	277	8.7932e-04	1.8774e-04	4.6838e+00	2.8193e-06	8.3042e-03	1.7443e-04	1.6648e-04	2.1938e+01	2.8193e-06	125748	4.8430e-03	2.3593e-05	2.0527e+02	0.0000e+00	1.3917e-03	1.0838e-04	1.2840e+01	1.0306e-37	8.2994e-03	1.3094e-03	1.3015e-03	1.6487e+02	1.0306e-37	125748	4.7955e-03	2.3881e-05	2.0081e+02	0.0000e+00
1.0000e-02	5	false	258	5.4855e-04	1.8629e-04	2.9445e+00	3.2352e-03	8.3046e-03	6.8945e-05	6.0993e-05	8.6702e+00	3.2352e-03	125748	4.8484e-03	2.3576e-05	2.0565e+02	0.0000e+00	7.7060e-04	9.7651e-05	7.8914e+00	3.0125e-15	8.3028e-03	4.9499e-04	4.8704e-04	6.2274e+01	3.0125e-15	125748	4.8132e-03	2.4046e-05	2.0017e+02	0.0000e+00
1.0000e-02	5	true	30	-3.6292e-03	2.9132e-04	-1.2458e+01	1.3320e-35	8.2998e-03	1.2327e-03	1.2247e-03	1.5520e+02	1.3320e-35	125748	4.8800e-03	2.3482e-05	2.0782e+02	0.0000e+00	6.6880e-04	3.2027e-04	2.0883e+00	3.6775e-02	8.3047e-03	3.4679e-05	2.6727e-05	4.3609e+00	3.6775e-02	125748	4.8529e-03	2.3482e-05	2.0666e+02	0.0000e+00
1.0000e-02	10	false	151	7.9937e-03	3.2162e-04	2.4854e+01	4.9823e-136	8.2846e-03	4.8885e-03	4.8806e-03	6.1773e+02	4.9823e-136	125748	4.8143e-03	2.3424e-05	2.0553e+02	0.0000e+00	-6.4000e-04	1.4104e-04	-4.5376e+00	5.6944e-06	8.3042e-03	1.6372e-04	1.5576e-04	2.0590e+01	5.6944e-06	125748	4.8735e-03	2.3718e-05	2.0548e+02	0.0000e+00
1.0000e-02	10	true	42	1.6015e-03	3.3469e-04	4.7852e+00	1.7104e-06	8.3041e-03	1.8206e-04	1.7411e-04	2.2898e+01	1.7104e-06	125748	4.8495e-03	2.3463e-05	2.0669e+02	0.0000e+00	-2.4007e-03	1.1765e-04	-2.0406e+01	2.0801e-92	8.2912e-03	3.3006e-03	3.2927e-03	4.1641e+02	2.0801e-92	125748	4.9228e-03	2.3606e-05	2.0854e+02	0.0000e+00
5.0000e-02	-10	false	140	3.1053e-03	1.0745e-04	2.8899e+01	4.9177e-183	8.2774e-03	6.5977e-03	6.5898e-03	8.3515e+02	4.9177e-183	125748	4.7110e-03	2.3879e-05	1.9729e+02	0.0000e+00	-6.8395e-04	6.1909e-05	-1.1048e+01	2.3167e-28	8.3009e-03	9.6969e-04	9.6174e-04	1.2205e+02	2.3167e-28	125748	4.9502e-03	2.4901e-05	1.9880e+02	0.0000e+00
5.0000e-02	-10	true	30	-1.2086e-03	1.0584e-04	-1.1419e+01	3.4740e-30	8.3006e-03	1.0359e-03	1.0280e-03	1.3040e+02	3.4740e-30	125748	4.9120e-03	2.3908e-05	2.0546e+02	0.0000e+00	-1.6193e-03	7.4816e-05	-2.1644e+01	1.0796e-103	8.2895e-03	3.7115e-03	3.7036e-03	4.6845e+02	1.0796e-103	125748	5.0060e-03	2.4376e-05	2.0537e+02	0.0000e+00
5.0000e-02	-5	false	182	6.9128e-03	1.4717e-04	4.6972e+01	0.0000e+00	8.2330e-03	1.7243e-02	1.7236e-02	2.2063e+03	0.0000e+00	125748	4.7011e-03	2.3451e-05	2.0046e+02	0.0000e+00	1.5937e-03	5.8472e-05	2.7256e+01	4.2111e-163	8.2805e-03	5.8732e-03	5.8653e-03	7.4289e+02	4.2111e-163	125748	4.6533e-03	2.4511e-05	1.8985e+02	0.0000e+00
5.0000e-02	-5	true	19	-2.0854e-03	2.0747e-04	-1.0052e+01	9.2038e-24	8.3016e-03	8.0288e-04	7.9493e-04	1.0104e+02	9.2038e-24	125748	4.8833e-03	2.3563e-05	2.0725e+02	0.0000e+00	-9.1224e-04	1.5251e-04	-5.9813e+00	2.2191e-09	8.3037e-03	2.8443e-04	2.7648e-04	3.5776e+01	2.2191e-09	125748	4.8784e-03	2.3702e-05	2.0582e+02	0.0000e+00
5.0000e-02	-1	false	1399	5.4657e-03	1.2131e-04	4.5055e+01	0.0000e+00	8.2387e-03	1.5887e-02	1.5879e-02	2.0299e+03	0.0000e+00	125748	4.6697e-03	2.3600e-05	1.9787e+02	0.0000e+00	3.8938e-03	2.2809e-05	1.7071e+02	0.0000e+00	7.4829e-03	1.8815e-01	1.8815e-01	2.9143e+04	0.0000e+00	125748	2.8166e-03	2.4250e-05	1.1615e+02	0.0000e+00
5.0000e-02	-1	true	117	4.9443e-03	1.6753e-04	2.9514e+01	8.6195e-191	8.2763e-03	6.8795e-03	6.8716e-03	8.7107e+02	8.6195e-191	125748	4.7759e-03	2.3498e-05	2.0325e+02	0.0000e+00	3.8464e-03	6.2297e-05	6.1742e+01	0.0000e+00	8.1818e-03	2.9424e-02	2.9416e-02	3.8121e+03	0.0000e+00	125748	4.3664e-03	2.4400e-05	1.7896e+02	0.0000e+00
5.0000e-02	0	false	15255	4.4928e-03	4.6540e-05	9.6537e+01	0.0000e+00	8.0133e-03	6.8998e-02	6.8991e-02	9.3193e+03	0.0000e+00	125748	4.1670e-03	2.3699e-05	1.7583e+02	0.0000e+00	2.4529e-04	6.3095e-07	3.8876e+02	0.0000e+00	5.5967e-03	5.4585e-01	5.4585e-01	1.5114e+05	0.0000e+00	125748	3.5426e-04	1.9576e-05	1.8097e+01	4.1876e-73
5.0000e-02	0	true	3846	1.3236e-03	3.0981e-05	4.2722e+01	0.0000e+00	8.2453e-03	1.4307e-02	1.4299e-02	1.8252e+03	0.0000e+00	125748	4.4501e-03	2.5122e-05	1.7714e+02	0.0000e+00	5.8537e-04	3.3896e-06	1.7270e+02	0.0000e+00	7.4665e-03	1.9171e-01	1.9170e-01	2.9824e+04	0.0000e+00	125748	1.2129e-03	2.9807e-05	4.0693e+01	0.0000e+00
5.0000e-02	1	false	1222	3.4161e-03	1.2518e-04	2.7290e+01	1.6938e-163	8.2804e-03	5.8876e-03	5.8797e-03	7.4472e+02	1.6938e-163	125748	4.7604e-03	2.3614e-05	2.0159e+02	0.0000e+00	1.4486e-03	2.2834e-05	6.3438e+01	0.0000e+00	8.1751e-03	3.1012e-02	3.1004e-02	4.0244e+03	0.0000e+00	125748	3.7793e-03	2.8631e-05	1.3200e+02	0.0000e+00
5.0000e-02	1	true	97	1.1812e-04	2.5035e-04	4.7182e-01	6.3706e-01	8.3049e-03	1.7703e-06	-6.1822e-06	2.2261e-01	6.3706e-01	125748	4.8554e-03	2.3522e-05	2.0642e+02	0.0000e+00	2.4446e-03	8.5236e-05	2.8681e+01	2.5445e-180	8.2779e-03	6.4991e-03	6.4912e-03	8.2258e+02	2.5445e-180	125748	4.6758e-03	2.4178e-05	1.9339e+02	0.0000e+00
5.0000e-02	5	false	97	5.0021e-05	1.2002e-04	4.1676e-01	6.7685e-01	8.3049e-03	1.3813e-06	-6.5713e-06	1.7369e-01	6.7685e-01	125748	4.8546e-03	2.3849e-05	2.0355e+02	0.0000e+00	5.4031e-04	1.1135e-04	4.8524e+00	1.2213e-06	8.3041e-03	1.8721e-04	1.7926e-04	2.3546e+01	1.2213e-06	125748	4.8330e-03	2.3910e-05	2.0214e+02	0.0000e+00
5.0000e-02	5	true	9	3.2688e-03	5.3102e-04	6.1557e+00	7.4975e-10	8.3036e-03	3.0125e-04	2.9330e-04	3.7893e+01	7.4975e-10	125748	4.8501e-03	2.3439e-05	2.0692e+02	0.0000e+00	4.2214e-03	2.5781e-04	1.6374e+01	3.3811e-60	8.2960e-03	2.1276e-03	2.1197e-03	2.6811e+02	3.3811e-60	125748	4.8217e-03	2.3491e-05	2.0526e+02	0.0000e+00
5.0000e-02	10	false	42	6.8168e-03	2.9669e-04	2.2976e+01	1.4174e-116	8.2875e-03	4.1805e-03	4.1726e-03	5.2789e+02	1.4174e-116	125748	4.8145e-03	2.3442e-05	2.0538e+02	0.0000e+00	-1.5004e-03	1.3103e-04	-1.1450e+01	2.4230e-30	8.3006e-03	1.0416e-03	1.0336e-03	1.3111e+02	2.4230e-30	125748	4.9042e-03	2.3776e-05	2.0627e+02	0.0000e+00
5.0000e-02	10	true	5	1.1582e-02	9.5236e-04	1.2161e+01	5.2196e-34	8.3000e-03	1.1748e-03	1.1668e-03	1.4790e+02	5.2196e-34	125748	4.8494e-03	2.3413e-05	2.0713e+02	0.0000e+00	8.9947e-03	8.2631e-04	1.0885e+01	1.3915e-27	8.3010e-03	9.4143e-04	9.3348e-04	1.1849e+02	1.3915e-27	125748	4.8492e-03	2.3418e-05	2.0707e+02	0.0000e+00
1.0000e-01	-10	false	133	7.9678e-03	7.6819e-05	1.0372e+02	0.0000e+00	7.9709e-03	7.8813e-02	7.8806e-02	1.0758e+04	0.0000e+00	125748	4.2356e-03	2.3261e-05	1.8209e+02	0.0000e+00	7.3705e-04	4.1958e-05	1.7566e+01	5.4080e-69	8.2947e-03	2.4479e-03	2.4400e-03	3.0857e+02	5.4080e-69	125748	4.6324e-03	2.6642e-05	1.7388e+02	0.0000e+00
1.0000e-01	-10	true	22	7.4544e-04	1.2574e-04	5.9285e+00	3.0655e-09	8.3037e-03	2.7943e-04	2.7148e-04	3.5147e+01	3.0655e-09	125748	4.8305e-03	2.3823e-05	2.0276e+02	0.0000e+00	4.4027e-04	7.2779e-05	6.0494e+00	1.4578e-09	8.3037e-03	2.9094e-04	2.8299e-04	3.6595e+01	1.4578e-09	125748	4.8106e-03	2.4611e-05	1.9547e+02	0.0000e+00
1.0000e-01	-5	false	145	1.0022e-02	1.0153e-04	9.8711e+01	0.0000e+00	8.0007e-03	7.1916e-02	7.1908e-02	9.7439e+03	0.0000e+00	125748	4.4013e-03	2.3028e-05	1.9112e+02	0.0000e+00	5.5482e-03	5.0010e-05	1.1094e+02	0.0000e+00	7.9260e-03	8.9153e-02	8.9146e-02	1.2308e+04	0.0000e+00	125748	3.8795e-03	2.4023e-05	1.6149e+02	0.0000e+00
1.0000e-01	-5	true	13	-4.5692e-04	3.1544e-04	-1.4485e+00	1.4747e-01	8.3048e-03	1.6686e-05	8.7337e-06	2.0983e+00	1.4747e-01	125748	4.8590e-03	2.3484e-05	2.0690e+02	0.0000e+00	1.2104e-03	1.6522e-04	7.3258e+00	2.3886e-13	8.3031e-03	4.2661e-04	4.1866e-04	5.3668e+01	2.3886e-13	125748	4.8317e-03	2.3656e-05	2.0425e+02	0.0000e+00
1.0000e-01	-1	false	1505	7.4393e-03	7.2950e-05	1.0198e+02	0.0000e+00	7.9814e-03	7.6386e-02	7.6379e-02	1.0400e+04	0.0000e+00	125748	4.2852e-03	2.3194e-05	1.8475e+02	0.0000e+00	2.6649e-03	1.0046e-05	2.6527e+02	0.0000e+00	6.6500e-03	3.5882e-01	3.5882e-01	7.0371e+04	0.0000e+00	125748	6.8739e-04	2.4468e-05	2.8094e+01	4.0214e-173
